t_hours,a,e,i,omega,raan,v
0.0,7069220.386682823,0.0004777356060557311,1.7136559067030632,0.23982675721074775,2.624072045239581,-0.24351098047619282
0.016666666666666666,7069153.170616519,0.0004933634576932,1.7136565902519756,0.41154184448945635,2.624072072908042,-0.35143370359623977
0.03333333333333333,7068937.085144716,0.0004979633259115422,1.7136587845585274,0.5885569414102035,2.6240722856309473,-0.464655669562048
0.05,7068575.881255225,0.0004931804208775891,1.7136624517572407,0.7772364189845061,2.624072875726024,-0.5895414529447363
0.06666666666666667,7068075.981328017,0.00048177096813742566,1.713667527098166,0.9838944116030341,2.6240740282829,-0.7324053879765746
0.08333333333333333,7067445.888041856,0.00046775589187524535,1.713673924898783,1.214518673708944,2.624075918772239,-0.8992354218595211
0.1,7066695.988085424,0.00045652591018650694,1.7136815404767327,1.4729749041739981,2.6240787108435897,-1.0938974372460455
0.11666666666666667,7065838.7347308425,0.0004545260956397906,1.713690248227116,1.7573891596630664,2.6240825527558465,-1.3145176631916642
0.13333333333333333,7064888.353144699,0.00046798695376527166,1.7136999045377117,2.056814756694581,2.624087575084799,-1.5501495740886546
0.15,7063860.241218324,0.0005009223838310245,1.7137103537978964,2.353085153932849,2.624093890662941,-1.7826267700780802
0.16666666666666666,7062770.910358555,0.0005538185932799143,1.7137214289294775,2.628985039739379,2.6241015924586066,-1.99473406388522
0.18333333333333332,7061638.147834122,0.0006241022416530011,1.7137329496712657,2.875377012440552,2.624110749153064,-2.177334159436457
0.2,7060480.586553743,0.0007076853492832256,1.7137447268978294,3.091502552290447,2.624121404142486,-2.3296686213450557
0.21666666666666667,7059316.9911478,0.000800266489845232,1.7137565698454247,3.2812312749049153,2.6241335782543804,-2.4556071272066933
0.23333333333333334,7058165.98292568,0.0008979143202601476,1.7137682888970263,3.4496958257370585,2.6241472701852495,-2.5602823626240565
0.25,7057046.076743522,0.0009971741011323273,1.7137796952102697,3.601623802003913,2.624162453341281,-2.6484219436945406
0.26666666666666666,7055975.512860622,0.0010950220104280796,1.7137906024487513,3.740849822324999,2.6241790736820843,-2.7238604864200484
0.2833333333333333,7054971.791013767,0.001188817186516041,1.7138008315666147,3.8703413160805615,2.6241970516182294,-2.7895653958407842
0.3,7054051.174327419,0.001276269416596888,1.7138102159211905,3.9923704185886137,2.6242162864987857,-2.8478087619500725
0.31666666666666665,7053228.428740987,0.0013554012610469007,1.7138186039992744,4.10868728046833,2.6242366592579525,-2.9003406709542343
0.3333333333333333,7052516.771692913,0.001424506618219537,1.7138258600162366,4.220654855419679,2.624258030714395,-2.9485239954782205
0.35,7051927.717749489,0.0014821388724465274,1.7138318655687061,4.32934971936369,2.624280240263257,-2.9934352158020396
0.36666666666666664,7051470.705930727,0.0015271358501786597,1.713836523513426,4.435644210543851,2.624303111663755,-3.035946561667912
0.38333333333333336,7051152.805136517,0.0015586401641619633,1.7138397610411744,4.540274910327216,2.6243264635688526,-3.076794495195149
0.4,7050978.722654139,0.0015760863900227812,1.7138415296429452,4.643894219806242,2.624350116067548,-3.1166312904406817
0.4166666666666667,7050950.9618666265,0.0015791747205985119,1.7138418035368315,-1.536078771196257,2.6243738907595295,3.127124094355939
