t_hours,a,e,sin_i,cos_i,sin_omega,cos_omega,sin_raan,cos_raan,sin_v,cos_v
0.0,1.0,0.16146196236726737,0.9898129134765059,-0.14237414201726056,0.2375343455608143,0.971379140541424,0.49472694916517224,-0.869048471473094,-0.2411115030093569,0.9704974204584826
0.016666666666666666,0.9963319105558526,0.17119968942591599,0.9898128161565847,-0.14237481860276777,0.40002291130719825,0.9165051393360069,0.49472692511993843,-0.8690484851614269,-0.3442442366164935,0.9388801337531473
0.03333333333333333,0.9845397768931434,0.17406587105183932,0.9898125037402045,-0.14237699055517253,0.555161347956337,0.8317426751918545,0.49472674025340846,-0.8690485904011562,-0.4481150048973028,0.893975918235995
0.05,0.9648282964828354,0.17108563903732457,0.9898119816088322,-0.14238062039335533,0.7013120689395329,0.7128543904331037,0.4947262274320276,-0.8690488823368187,-0.5559799390329002,0.8311957094409069
0.06666666666666667,0.9375479489867189,0.1639763997605779,0.9898112589658943,-0.14238564402478016,0.8326603422408584,0.5537840323260833,0.49472522580343437,-0.8690494525363565,-0.6686601376063935,0.7435681679417153
0.08333333333333333,0.9031627393359258,0.1552435943492411,0.9898103479906757,-0.14239197663694922,0.9372016237316381,0.3487880681370582,0.49472358287382495,-0.8690503878075687,-0.7828514113216387,0.6222087011539765
0.1,0.8622394859298765,0.1482461836305233,0.9898092635647752,-0.14239951461068065,0.9952192986860148,0.09766548788040169,0.4947211564212066,-0.8690517691077235,-0.8884226836502817,0.45902629028807435
0.11666666666666667,0.8154577839684407,0.14700009756088403,0.9898080235478212,-0.14240813361727592,0.9826420077578873,-0.1855119526864724,0.49471781759691197,-0.8690536697765844,-0.9673399676981075,0.25348251792544646
0.13333333333333333,0.7635939237980551,0.15538756920073873,0.9898066483645046,-0.14241769150434197,0.8841996898657098,-0.46710909693708874,0.4947134529172655,-0.8690561544012426,-0.9997868633729776,0.020645285825654586
0.15,0.7074881932509811,0.17590966244678483,0.9898051601509542,-0.142428034243768,0.7093019922563903,-0.7049047338336689,0.4947079643153466,-0.8690592787853806,-0.9776477024568501,-0.21024977974029474
0.16666666666666666,0.6480416465016674,0.208869333551893,0.9898035826810301,-0.14243899645742114,0.49045136525356686,-0.8714685641610445,0.49470127098368766,-0.8690630888992605,-0.9114762119358578,-0.4113527866382568
0.18333333333333332,0.5862249635713397,0.2526631319843178,0.9898019416124443,-0.14245039971946513,0.26308228049490145,-0.9647734001772654,0.49469331321777943,-0.8690676186912132,-0.8216264645115432,-0.5700262737929382
0.2,0.5230549724229832,0.3047438342905371,0.9898002638731684,-0.14246205683130533,0.050069157763869096,-0.9987457531528315,0.4946840532834146,-0.8690728895939004,-0.7256124501503768,-0.6881036057068493
0.21666666666666667,0.45955568928388857,0.3624312182307403,0.9897985766330827,-0.14247377897396934,-0.13918526258578345,-0.990266359460386,0.49467347305615406,-0.8690789118685152,-0.6334359145496423,-0.7737951551661837
